Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.537    0.537 subprocess.py:506(run)
       56    0.000    0.000    0.002    0.000 contextlib.py:567(__exit__)
        4    0.000    0.000    0.000    0.000 typing.py:1074(_generic_class_getitem)
      275    0.003    0.000    0.063    0.000 dataclasses.py:568(_init_fn)
    15775    0.049    0.000    0.078    0.000 inspect.py:176(get_annotations)
        6    0.001    0.000    0.007    0.001 inspect.py:569(_getmembers)
      985    0.005    0.000    0.047    0.000 inspect.py:951(getsourcefile)
       13    0.000    0.000    0.193    0.015 inspect.py:1070(findsource)
       23    0.005    0.000    0.177    0.008 inspect.py:988(getmodule)
       26    0.000    0.000    0.002    0.000 inspect.py:1358(getfullargspec)
      504    0.001    0.000    0.004    0.000 inspect.py:1463(formatannotation)
      180    0.000    0.000    0.001    0.000 inspect.py:2164(_signature_is_functionlike)
       10    0.000    0.000    0.250    0.025 inspect.py:1688(getframeinfo)
    20424    0.066    0.000    0.123    0.000 inspect.py:2743(__init__)
    15961    0.067    0.000    0.089    0.000 inspect.py:3029(__init__)
       39    0.001    0.000    0.003    0.000 inspect.py:2189(_signature_strip_non_python_syntax)
       39    0.001    0.000    0.013    0.000 inspect.py:2239(_signature_fromstr)
        2    0.000    0.000    0.000    0.000 ast.py:477(generic_visit)
    15500    0.178    0.000    0.497    0.000 inspect.py:2397(_signature_from_function)
16102/15541    0.164    0.000    0.759    0.000 inspect.py:2501(_signature_from_callable)
      238    0.005    0.000    6.078    0.026 __init__.py:1518(inner)
        2    0.000    0.000    0.000    0.000 ast.py:419(visit_Constant)
    15657    0.031    0.000    0.051    0.000 inspect.py:754(unwrap)
       30    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
        1    0.000    0.000    0.001    0.001 fnmatch.py:48(filter)
        1    0.000    0.000    0.001    0.001 __init__.py:1233(close)
       95    0.001    0.000    0.003    0.000 __init__.py:1377(getLogger)
       69    0.000    0.000    0.001    0.000 __init__.py:1428(_fixupParents)
       33    0.001    0.000    0.003    0.000 __init__.py:1611(findCaller)
       33    0.001    0.000    0.013    0.000 __init__.py:1746(callHandlers)
        2    0.000    0.000    0.597    0.299 subprocess.py:1165(communicate)
        1    0.000    0.000    0.001    0.001 shutil.py:710(rmtree)
       63    0.001    0.000    0.001    0.000 arrayprint.py:64(_make_options_dict)
      138    0.001    0.000    0.002    0.000 random.py:135(seed)
     3798    0.032    0.000    2.639    0.001 tempfile.py:243(_mkstemp_inner)
        1    0.000    0.000    0.001    0.001 shutil.py:619(_rmtree_unsafe)
        2    0.000    0.000    0.000    0.000 dis.py:172(_get_code_object)
      139    0.001    0.000    0.008    0.000 inspect.py:3300(__str__)
        2    0.000    0.000    0.000    0.000 ast.py:86(_convert)
      187    0.006    0.000    0.009    0.000 function_base.py:24(linspace)
        8    0.000    0.000    0.001    0.000 threading.py:975(start)
        1    0.000    0.000    0.001    0.001 __init__.py:1206(__init__)
       33    0.001    0.000    0.025    0.001 __init__.py:1660(_log)
        1    0.000    0.000    0.000    0.000 pathlib.py:277(__getitem__)
       31    0.002    0.000    0.005    0.000 __init__.py:690(format)
       32    0.000    0.000    0.001    0.000 dis.py:434(_get_instructions_bytes)
     2975    0.011    0.000    0.025    0.000 core.py:3217(__getitem__)
      204    0.015    0.000    0.083    0.000 colors.py:745(_get_rgba_and_mask)
       63    0.001    0.000    0.042    0.001 arrayprint.py:561(array2string)
       63    0.000    0.000    0.000    0.000 arrayprint.py:403(_get_formatdict)
       31    0.000    0.000    0.001    0.000 _dtype.py:346(_name_get)
     1332    0.001    0.000    0.001    0.000 __init__.py:1790(isEnabledFor)
     8322    0.022    0.000    0.033    0.000 pathlib.py:358(__init__)
       17    0.000    0.000    0.000    0.000 _asarray.py:27(require)
     1088    0.018    0.000    0.116    0.000 numeric.py:2249(isclose)
    43180    0.284    0.000    0.353    0.000 cbook.py:2020(_setattr_cm)
      136    0.002    0.000    0.003    0.000 cbook.py:330(disconnect)
     3799    0.007    0.000    0.033    0.000 tempfile.py:85(_infer_return_type)
        2    0.000    0.000    0.000    0.000 typing.py:2145(runtime_checkable)
  221/180    0.000    0.000    0.000    0.000 typing.py:237(_type_repr)
     7596    0.012    0.000    0.015    0.000 tempfile.py:446(cleanup)
    11985    0.106    0.000    0.134    0.000 cbook.py:1752(normalize_kwargs)
      782    0.012    0.000    0.048    0.000 arraysetops.py:373(intersect1d)
      4/2    0.001    0.000    0.258    0.129 threading.py:1058(_bootstrap_inner)
     7265    0.036    0.000    0.068    0.000 __init__.py:133(check_shape)
     8308    0.070    0.000    0.178    0.000 pathlib.py:387(_parse_path)
        4    0.000    0.000    0.012    0.003 subprocess.py:1580(_wait)
      799    0.017    0.000    0.190    0.000 cbook.py:683(safe_masked_invalid)
        1    0.000    0.000    0.000    0.000 pathlib.py:1398(expanduser)
       51    0.001    0.000    0.002    0.000 cbook.py:800(__init__)
31569/30668    0.089    0.000    0.415    0.000 cbook.py:348(process)
     3587    0.645    0.000    4.645    0.001 core.py:2808(__new__)
     1088    0.002    0.000    0.003    0.000 core.py:3445(__setmask__)
       17    0.000    0.000    1.274    0.075 ImageFile.py:556(_encode_tile)
        6    0.000    0.000    0.000    0.000 typing.py:1442(__mro_entries__)
        2    0.000    0.000    0.000    0.000 typing.py:1770(_no_init_or_replace_init)
      510    0.013    0.000    0.131    0.000 colors.py:2254(__call__)
